State,HighQ,HighQN,MedQ,MedQN,LowQ,LowQN,date
California,248.78,12096,193.56,12812,192.92,778,1/1/2014
California,248.2,12571,192.8,13406,191.94,804,2/1/2014
California,247.6,12988,192.97,13906,191.4,839,3/1/2014
California,246.76,13396,192.91,14527,191.98,863,4/1/2014
California,246.04,13787,191.89,15047,191.4,891,5/1/2014
California,245.71,14178,192.27,15588,190.06,930,6/1/2014
California,245.39,14539,191.94,16092,188.57,949,7/1/2014
California,245.36,14948,191.58,16665,188.03,976,8/1/2014
California,245.11,15238,191.35,17060,NA,995,9/1/2014
California,245.05,15419,190.91,17373,NA,1001,10/1/2014
California,245.09,15688,191.04,17780,NA,1023,11/1/2014
California,244.36,16127,190.25,18472,NA,1061,12/1/2014
California,248.67,12125,193.56,12836,192.8,779,1/2/2014
California,248.21,12580,192.73,13424,191.7,805,2/2/2014
California,247.57,12999,193.02,13926,192.2,841,3/2/2014
California,246.72,13413,192.95,14541,191.96,864,4/2/2014
California,246.06,13803,191.86,15059,191.24,892,5/2/2014
California,245.77,14190,192.22,15608,190.06,930,6/2/2014
California,245.38,14558,192.02,16109,188.57,949,7/2/2014
California,245.09,15245,191.34,17065,NA,995,9/2/2014
California,245.01,15433,190.92,17380,NA,1002,10/2/2014
California,245.11,15709,190.96,17796,NA,1026,11/2/2014
California,244.36,16133,190.24,18498,NA,1063,12/2/2014
California,248.67,12141,193.57,12853,192.67,782,1/3/2014
California,248.28,12602,192.78,13447,191.54,806,2/3/2014
California,247.45,13022,192.98,13940,192.2,841,3/3/2014
California,246.61,13423,192.96,14566,191.96,864,4/3/2014
California,246.06,13816,191.84,15079,191.62,897,5/3/2014
California,245.79,14202,192.22,15626,190.06,930,6/3/2014
California,245.4,14571,192.02,16122,189.44,951,7/3/2014
California,245.33,14972,191.59,16702,187.9,977,8/3/2014
California,245.08,15247,191.33,17072,NA,996,9/3/2014
California,244.96,15440,190.93,17394,NA,1002,10/3/2014
California,245.04,15720,190.94,17815,NA,1026,11/3/2014
California,244.33,16146,190.24,18526,NA,1063,12/3/2014
California,248.65,12155,193.59,12884,192.67,782,1/4/2014
California,248.25,12623,192.87,13465,191.54,806,2/4/2014
California,247.33,13047,192.98,13964,192.2,841,3/4/2014
California,246.53,13435,192.83,14590,191.62,866,4/4/2014
California,246.09,13825,191.82,15098,191.43,898,5/4/2014
California,245.74,14215,192.26,15646,190.02,931,6/4/2014
California,245.41,14582,191.96,16136,189.44,951,7/4/2014
California,245.3,14983,191.62,16719,188.74,978,8/4/2014
California,245.11,15258,191.29,17085,NA,996,9/4/2014
California,244.96,15449,190.88,17407,NA,1002,10/4/2014
California,245.03,15735,190.88,17843,NA,1029,11/4/2014
California,244.31,16161,190.16,18553,NA,1065,12/4/2014
California,248.68,12176,193.63,12902,192.67,782,1/5/2014
California,248.3,12638,192.87,13486,191.39,808,2/5/2014
California,247.31,13062,193.02,13984,192.2,841,3/5/2014
California,246.47,13449,192.89,14605,191.87,867,4/5/2014
California,246.01,13834,191.81,15117,191.43,898,5/5/2014
California,245.74,14229,192.24,15665,189.77,933,6/5/2014
California,245.38,14591,191.96,16149,189.44,951,7/5/2014
California,245.35,14991,191.59,16734,188.74,978,8/5/2014
California,245.1,15264,191.26,17093,NA,997,9/5/2014
California,245,15456,190.86,17413,NA,1002,10/5/2014
California,244.94,15752,190.83,17871,NA,1029,11/5/2014
California,244.23,16181,190.15,18575,NA,1065,12/5/2014
California,248.68,12189,193.57,12918,192.79,783,1/6/2014
California,248.38,12657,192.91,13510,191.65,809,2/6/2014
California,247.28,13083,192.99,14007,192.21,842,3/6/2014
California,246.41,13462,192.87,14625,191.87,867,4/6/2014
California,246.05,13851,192.7,15132,191.4,900,5/6/2014
California,245.74,14241,192.23,15684,189.77,933,6/6/2014
California,245.39,14600,191.92,16167,189.35,953,7/6/2014
California,245.31,15001,191.61,16743,188.74,978,8/6/2014
California,245.11,15268,191.22,17106,NA,997,9/6/2014
California,244.98,15463,190.84,17430,NA,1002,10/6/2014
California,244.87,15766,190.77,17905,NA,1029,11/6/2014
California,244.23,16189,190.11,18594,NA,1066,12/6/2014
California,248.64,12212,193.51,12945,192.91,784,1/7/2014
California,248.36,12671,192.9,13531,191.52,810,2/7/2014
California,247.26,13097,192.93,14026,192.21,842,3/7/2014
